MODE: DFS_LIST_ITERATIVE
From Node 1 to Node 20
1 (x: 0, y: 0, z: 0)
51 (x: 0, y: 1, z: 0)
101 (x: 0, y: 2, z: 0)
151 (x: 0, y: 3, z: 0)
201 (x: 0, y: 4, z: 0)
251 (x: 0, y: 5, z: 0)
301 (x: 0, y: 6, z: 0)
351 (x: 0, y: 7, z: 0)
401 (x: 0, y: 8, z: 0)
451 (x: 0, y: 9, z: 0)
501 (x: 0, y: 10, z: 0)
551 (x: 0, y: 11, z: 0)
601 (x: 0, y: 12, z: 0)
651 (x: 0, y: 13, z: 0)
701 (x: 0, y: 14, z: 0)
751 (x: 0, y: 15, z: 0)
801 (x: 0, y: 16, z: 0)
851 (x: 0, y: 17, z: 0)
901 (x: 0, y: 18, z: 0)
951 (x: 0, y: 19, z: 0)
1001 (x: 0, y: 20, z: 0)
1051 (x: 0, y: 21, z: 0)
1101 (x: 0, y: 22, z: 0)
1151 (x: 0, y: 23, z: 0)
1201 (x: 0, y: 24, z: 0)
1251 (x: 0, y: 25, z: 0)
1301 (x: 0, y: 26, z: 0)
1351 (x: 0, y: 27, z: 0)
1401 (x: 0, y: 28, z: 0)
1451 (x: 0, y: 29, z: 0)
1501 (x: 0, y: 30, z: 0)
1551 (x: 0, y: 31, z: 0)
1601 (x: 0, y: 32, z: 0)
1651 (x: 0, y: 33, z: 0)
1701 (x: 0, y: 34, z: 0)
1751 (x: 0, y: 35, z: 0)
1801 (x: 0, y: 36, z: 0)
1851 (x: 0, y: 37, z: 0)
1901 (x: 0, y: 38, z: 0)
1951 (x: 0, y: 39, z: 0)
2001 (x: 0, y: 40, z: 0)
2051 (x: 0, y: 41, z: 0)
2101 (x: 0, y: 42, z: 0)
2151 (x: 0, y: 43, z: 0)
2201 (x: 0, y: 44, z: 0)
2251 (x: 0, y: 45, z: 0)
2301 (x: 0, y: 46, z: 0)
2351 (x: 0, y: 47, z: 0)
2401 (x: 0, y: 48, z: 0)
2451 (x: 0, y: 49, z: 0)
2452 (x: 1, y: 49, z: 0)
2453 (x: 2, y: 49, z: 0)
2454 (x: 3, y: 49, z: 0)
2455 (x: 4, y: 49, z: 0)
2456 (x: 5, y: 49, z: 0)
2457 (x: 6, y: 49, z: 0)
2458 (x: 7, y: 49, z: 0)
2459 (x: 8, y: 49, z: 0)
2460 (x: 9, y: 49, z: 0)
2461 (x: 10, y: 49, z: 0)
2462 (x: 11, y: 49, z: 0)
2463 (x: 12, y: 49, z: 0)
2464 (x: 13, y: 49, z: 0)
2465 (x: 14, y: 49, z: 0)
2466 (x: 15, y: 49, z: 0)
2467 (x: 16, y: 49, z: 0)
2468 (x: 17, y: 49, z: 0)
2469 (x: 18, y: 49, z: 0)
2470 (x: 19, y: 49, z: 0)
2471 (x: 20, y: 49, z: 0)
2472 (x: 21, y: 49, z: 0)
